label,Estimate (95%CI)
Database Source,
  Commercial,REF
  Medicare,0.94 (-2.74-4.53)
  Medicaid,8.42 (4.57-12.33)
Age,
  Age < 18,REF
  Age 18-34,1.47 (-0.81-3.71)
  Age 35-44,1.88 (-0.23-3.82)
  Age 45-54,3.51 (1.50-5.27)
  Age 55-64,4.53 (2.54-6.41)
  Age >= 65,5.21 (1.35-9.23)
Female,2.34 (1.45-3.22)
Rural location,-0.39 (-3.15-2.58)
Asthma dx prior to delay window,3.82 (2.18-5.31)
COPD dx prior to delay window,5.13 (3.57-6.81)
Chest CT prior to delay window,8.17 (6.35-10.05)
Chest X-ray prior to delay window,7.16 (5.86-8.56)
Respiratory abx rx during delay window,1.19 (0.22-2.12)
Inhaler rx during delay window,2.70 (1.64-3.85)
Month,
  January,REF
  February,0.70 (-1.33-2.67)
  March,0.10 (-1.95-2.25)
  April,0.11 (-2.04-2.21)
  May,-0.44 (-2.62-1.59)
  June,-1.04 (-3.21-0.88)
  July,-0.98 (-3.12-1.13)
  August,-0.89 (-3.01-1.14)
  September,-1.92 (-3.98-0.18)
  October,-2.41 (-4.34--0.52)
  November,-3.24 (-5.33--1.44)
  December,-1.25 (-3.19-0.62)
Year,
  /n2002,REF
  /n2003,-1.06 (-6.67-4.30)
  /n2004,-1.39 (-6.26-3.20)
  /n2005,-2.47 (-7.76-2.07)
  /n2006,-2.57 (-7.35-2.02)
  /n2007,-3.10 (-8.26-1.49)
  /n2008,-3.20 (-8.26-1.46)
  /n2009,-2.39 (-7.25-2.09)
  /n2010,-4.15 (-8.66--0.02)
  /n2011,-3.31 (-7.91-0.85)
  /n2012,-2.78 (-7.38-1.39)
  /n2013,-2.31 (-7.06-1.94)
  /n2014,-2.21 (-6.77-2.08)
  /n2015,-2.47 (-7.52-2.43)
  /n2016,-1.13 (-5.80-3.39)
  /n2017,-3.18 (-8.33-1.19)
  /n2018,-2.57 (-7.77-2.43)
  /n2019,-1.47 (-6.30-3.24)
  /n2020,-0.81 (-6.00-3.86)
  /n2021,-0.44 (-5.42-4.17)
  /n2022,-0.14 (-5.56-4.95)
