label,OR (95%CI)
Database Source,
  Commercial,REF
  Medicare,4.88 (0.40-36.96)
  Medicaid,1.75 (0.92-3.05)
Age,
  Age < 2,REF
  Age 2-4,0.41 (0.16-0.88)
  Age 5-11,0.20 (0.10-0.36)
  Age 12-17,0.27 (0.13-0.56)
  Age 18-35,0.11 (0.06-0.22)
  Age 36-45,0.08 (0.04-0.17)
  Age 46-55,0.07 (0.03-0.13)
  Age 56-65,0.08 (0.03-0.17)
  Age >65,0.01 (0.00-0.17)
Female,1.12 (0.86-1.49)
Rural location,0.82 (0.25-2.76)
Respiratory abx rx during delay window,6.42 (4.59-9.53)
Month,
  January,REF
  February,0.72 (0.35-1.50)
  March,1.02 (0.56-1.92)
  April,1.07 (0.56-2.04)
  May,0.81 (0.49-1.53)
  June,0.72 (0.40-1.37)
  July,0.71 (0.35-1.34)
  August,0.71 (0.40-1.27)
  September,0.97 (0.56-1.76)
  October,0.81 (0.43-1.65)
  November,0.57 (0.27-1.05)
  December,0.73 (0.38-1.42)
Year,
  /n2003,REF
  /n2004,1.62 (0.16-8.49)
  /n2005,1.08 (0.08-5.21)
  /n2006,1.80 (0.29-6.58)
  /n2007,0.99 (0.10-4.66)
  /n2008,2.86 (0.41-8.85)
  /n2009,2.83 (0.54-7.27)
  /n2010,2.99 (0.53-7.30)
  /n2011,2.60 (0.46-6.96)
  /n2012,3.74 (0.79-9.44)
  /n2013,3.41 (0.73-8.27)
  /n2014,2.92 (0.56-6.54)
  /n2015,2.62 (0.50-6.82)
  /n2016,1.52 (0.26-4.15)
  /n2017,3.11 (0.59-7.29)
  /n2018,1.73 (0.34-4.42)
  /n2019,1.54 (0.30-3.64)
  /n2020,1.39 (0.25-4.45)
  /n2021,1.25 (0.14-4.99)
  /n2022,1.35 (0.25-4.47)
  /n2023,1.38 (0.20-4.47)
